"result1" "result2" "result3" "result4"
"170" "매장명= 상암사보이시티" "주소와 전화번호= 서울특별시 마포구 월드컵북로54길 17 (상암동)
02-373-3225" "위도= 37.581470" "경도= 126.888983"
"171" "매장명= 신촌오거리" "주소와 전화번호= 서울특별시 마포구 신촌로16길 10 (노고산동)
02-334-3275" "위도= 37.555137" "경도= 126.934694"
"172" "매장명= 상암디지털큐브" "주소와 전화번호= 서울특별시 마포구 상암산로 34
02-758-8890" "위도= 37.5763132" "경도= 126.8892477"
"173" "매장명= 상수역" "주소와 전화번호= 서울특별시 마포구 독막로 88 (상수동)
02-758-8925" "위도= 37.5474817" "경도= 126.92321579999998"
"174" "매장명= 공덕오거리" "주소와 전화번호= 서울특별시 마포구 마포대로 86 (도화동) 창강빌딩
02-758-8933" "위도= 37.5424641" "경도= 126.95057730000008"
"175" "매장명= 서교" "주소와 전화번호= 서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층
02-758-8856" "위도= 37.551385" "경도= 126.9169208"
"176" "매장명= 서강대" "주소와 전화번호= 서울특별시 마포구 백범로 23 (신수동)
02-758-8783" "위도= 37.5524584" "경도= 126.9378262"
"177" "매장명= 상암MBC" "주소와 전화번호= 서울특별시 마포구 성암로 267 (상암동)
02-758-8787" "위도= 37.581297" "경도= 126.890908"
"178" "매장명= 홍대역" "주소와 전화번호= 서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)
02-758-8672" "위도= 37.557175" "경도= 126.923654"
"179" "매장명= 동교" "주소와 전화번호= 서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)
02-758-8637" "위도= 37.556928" "경도= 126.919819"
"180" "매장명= 애오개역" "주소와 전화번호= 서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)
02-758-8272" "위도= 37.55218737" "경도= 126.9555203"
"181" "매장명= 홍대갤러리" "주소와 전화번호= 서울특별시 마포구 와우산로 101, 정명빌딩 (서교동)
02-758-8293" "위도= 37.55328184" "경도= 126.9248279"
"182" "매장명= 상암DMC" "주소와 전화번호= 서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)
02-6393-6219" "위도= 37.577623" "경도= 126.890684"
"183" "매장명= 마포일진빌딩" "주소와 전화번호= 서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)
02-758-8265" "위도= 37.54043451" "경도= 126.9463168"
"184" "매장명= 마포아크로" "주소와 전화번호= 서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워
02-758-8217" "위도= 37.54145556" "경도= 126.948819"
"185" "매장명= 홍대삼거리" "주소와 전화번호= 서울특별시 마포구 와우산로 64 (상수동)
02-758-8402" "위도= 37.550266" "경도= 126.923179"
"186" "매장명= 망원역" "주소와 전화번호= 서울특별시 마포구 월드컵로 74 (서교동)
02-758-8365" "위도= 37.555829" "경도= 126.910637"
"187" "매장명= 마포이마트" "주소와 전화번호= 서울특별시 마포구 백범로 212 (신공덕동) 마포이마트
02-758-8467" "위도= 37.542421" "경도= 126.953341"
"188" "매장명= 합정메세나몰" "주소와 전화번호= 서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)
02-758-8534" "위도= 37.551004" "경도= 126.913848"
"189" "매장명= 가재울뉴타운" "주소와 전화번호= 서울 서대문구 가재울미래로 2
02-304-3724" "위도= 37.5749841" "경도= 126.9164441"
"190" "매장명= 신촌역" "주소와 전화번호= 서울특별시 서대문구 신촌로 73 (창천동)
02-336-3529" "위도= 37.556167" "경도= 126.934673"
"191" "매장명= 연희동" "주소와 전화번호= 서울특별시 서대문구 연희로 97 (연희동)
02-326-3372" "위도= 37.566702" "경도= 126.930475"
"192" "매장명= 아현역" "주소와 전화번호= 서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지)
02-312-3430" "위도= 37.557820" "경도= 126.956058"
"193" "매장명= 홍제역" "주소와 전화번호= 서울특별시 서대문구 통일로 451 (홍제동)
02-396-3383" "위도= 37.588658" "경도= 126.943864"
"194" "매장명= 연세백양로" "주소와 전화번호= 서울특별시 서대문구 연세로 50 (신촌동) 연세대학교
02-758-8977" "위도= 37.562644" "경도= 126.937529"
"195" "매장명= 명지대" "주소와 전화번호= 서울특별시 서대문구 거북골로 53 (남가좌동)
02-758-8908" "위도= 37.5782618" "경도= 126.92232330000001"
"196" "매장명= 연희DT" "주소와 전화번호= 서울특별시 서대문구 연희로 144 (연희동)
02-758-8893" "위도= 37.5702143" "경도= 126.9339777"
"197" "매장명= 경기대" "주소와 전화번호= 서울특별시 서대문구 충정로 53 (충정로2가)
02-758-8163" "위도= 37.56367995" "경도= 126.9646045"
"198" "매장명= 신촌대로" "주소와 전화번호= 서울특별시 서대문구 신촌로 121 (창천동)
02-758-8090" "위도= 37.55624543" "경도= 126.9392796"
"199" "매장명= 신촌" "주소와 전화번호= 서울특별시 서대문구 연세로 10-1 (창천동)
02-758-8035" "위도= 37.55648577" "경도= 126.9371155"
"200" "매장명= 이대R" "주소와 전화번호= 서울특별시 서대문구 이화여대길 34 (대현동)
02-758-8001" "위도= 37.55848315" "경도= 126.9459643"
"201" "매장명= 연세종합관" "주소와 전화번호= 서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)
02-758-8244" "위도= 37.56177145" "경도= 126.9414708"
"202" "매장명= 이대ECC" "주소와 전화번호= 서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호
02-758-8240" "위도= 37.561631" "경도= 126.947350"
"203" "매장명= 연대" "주소와 전화번호= 서울특별시 서대문구 연세로 35 (창천동)
02-758-8439" "위도= 37.558706" "경도= 126.936727"
"204" "매장명= 신촌아트레온" "주소와 전화번호= 서울특별시 서대문구 신촌로 129 (창천동)
02-758-8401" "위도= 37.556505" "경도= 126.940238"
"205" "매장명= 충정로역" "주소와 전화번호= 서울특별시 서대문구 충정로 23
02-758-8479" "위도= 37.56137" "경도= 126.963219"
"206" "매장명= 연대동문" "주소와 전화번호= 서울특별시 서대문구 성산로 565 (대신동)
02-758-8450" "위도= 37.566385" "경도= 126.946273"
"207" "매장명= 신촌명물거리" "주소와 전화번호= 서울특별시 서대문구 명물길 24, 1-5층 (창천동)
02-365-8330" "위도= 37.557796" "경도= 126.938095"
"208" "매장명= 충정타워" "주소와 전화번호= 서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)
02-758-8333" "위도= 37.559869" "경도= 126.964110"
"209" "매장명= 방배로" "주소와 전화번호= 서울특별시 서초구 방배로 52 (방배동)
02-3487-3814" "위도= 37.4793434" "경도= 126.9994968"
"210" "매장명= 강남교보타워R" "주소와 전화번호= 서울특별시 서초구 강남대로 465 (서초동)
02-534-3604" "위도= 37.503789" "경도= 127.024075"
"211" "매장명= 방배다이치빌딩" "주소와 전화번호= 서울특별시 서초구 방배로 114 (방배동)
02-3473-3576" "위도= 37.484329" "경도= 126.995872"
"212" "매장명= 센트럴F1" "주소와 전화번호= 서울특별시 서초구 신반포로 176 (반포동)
02-537-3598" "위도= 37.505148" "경도= 127.004395"
"213" "매장명= 서초역이화빌딩" "주소와 전화번호= 서울특별시 서초구 반포대로21길 3 (서초동)
02-522-3533" "위도= 37.487931" "경도= 127.009126"
"214" "매장명= 서초구청" "주소와 전화번호= 서울특별시 서초구 남부순환로 2557 (서초동)
02-3471-3545" "위도= 37.484206" "경도= 127.030103"
"215" "매장명= 서초우성사거리" "주소와 전화번호= 서울특별시 서초구 강남대로 343 (서초동)
02-3486-3536" "위도= 37.493545" "경도= 127.029430"
"216" "매장명= 이수역사거리" "주소와 전화번호= 서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)
02-3476-3472" "위도= 37.485850" "경도= 126.983027"
"217" "매장명= 강남대로신사" "주소와 전화번호= 서울특별시 서초구 강남대로 595 (잠원동)
02-516-3402" "위도= 37.514890" "경도= 127.019469"
"218" "매장명= 서울고속터미널" "주소와 전화번호= 서울특별시 서초구 신반포로 194 (반포동)
02-592-3432" "위도= 37.504406" "경도= 127.005648"
"219" "매장명= 강남대로논현R" "주소와 전화번호= 서울특별시 서초구 강남대로85길 5 (반포동)
02-515-3419" "위도= 37.507413" "경도= 127.022568"
"220" "매장명= 방배" "주소와 전화번호= 서울특별시 서초구 방배로 211
02-536-3204" "위도= 37.491914" "경도= 126.99049739999998"
"221" "매장명= 방배카페거리" "주소와 전화번호= 서울특별시 서초구 방배중앙로 162 (방배동)
02-536-3206" "위도= 37.4934767" "경도= 126.9865297"
"222" "매장명= 서초법원" "주소와 전화번호= 서울특별시 서초구 서초대로 274 (서초동)
02-523-3294" "위도= 37.492970" "경도= 127.011875"
"223" "매장명= 청계산입구역" "주소와 전화번호= 서울특별시 서초구 청계산로 203 (신원동)
02-577-3253" "위도= 37.447323" "경도= 127.056250"
"224" "매장명= 사당로데오" "주소와 전화번호= 서울특별시 서초구 방배천로 5-4(방배동)
02-758-8953" "위도= 37.4772752" "경도= 126.98216049999996"
"225" "매장명= 파미에파크R" "주소와 전화번호= 서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY
02-758-8790" "위도= 37.5030521" "경도= 127.004362"
"226" "매장명= 교대역" "주소와 전화번호= 서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩
02-758-8757" "위도= 37.494207" "경도= 127.01394"
"227" "매장명= 양재역" "주소와 전화번호= 서울특별시 서초구 강남대로 202 (양재동) 모산빌딩
02-758-8816" "위도= 37.4820475" "경도= 127.0367682"
"228" "매장명= 논현역" "주소와 전화번호= 서울특별시 서초구 강남대로 557 (잠원동) 1~2층
02-758-8819" "위도= 37.5111983" "경도= 127.0205875"
"229" "매장명= 이수역" "주소와 전화번호= 서울특별시 서초구 동작대로 112 (방배동)
02-758-8794" "위도= 37.4864664" "경도= 126.98274029999993"
"230" "매장명= 내방역" "주소와 전화번호= 서울특별시 서초구 방배로 184 (방배동) 대풍빌딩
02-758-8740" "위도= 37.490004" "경도= 126.992455"
"231" "매장명= 서초파라곤" "주소와 전화번호= 서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤
02-758-8716" "위도= 37.494941" "경도= 127.027422"
"232" "매장명= 서울아트센터" "주소와 전화번호= 서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩
02-758-8738" "위도= 37.480866" "경도= 127.012368"
"233" "매장명= 서초중앙로" "주소와 전화번호= 서울특별시 서초구 서초중앙로 225
02-758-8715" "위도= 37.501691" "경도= 127.01152"
"234" "매장명= 센트럴시티" "주소와 전화번호= 서울특별시 서초구 신반포로 176 (반포동)
02-758-8656" "위도= 37.504707" "경도= 127.004459"
"235" "매장명= 강남삼성타운" "주소와 전화번호= 서울특별시 서초구 서초대로78길 24 (서초동)
02-758-8213" "위도= 37.49562035" "경도= 127.0277144"
"236" "매장명= 방배역" "주소와 전화번호= 서울특별시 서초구 방배로 84 (방배동)
02-758-8086" "위도= 37.48200755" "경도= 126.9976438"
"237" "매장명= 반포역" "주소와 전화번호= 서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가
02-758-8141" "위도= 37.508589" "경도= 127.011959"
"238" "매장명= 남부터미널" "주소와 전화번호= 서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)
02-758-8085" "위도= 37.48467334" "경도= 127.0169464"
"239" "매장명= 뉴코아강남" "주소와 전화번호= 서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽
02-758-8032" "위도= 37.51031339" "경도= 127.0069582"
"240" "매장명= 강남2" "주소와 전화번호= 서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)
02-758-8081" "위도= 37.5000875" "경도= 127.02549090000002"
"241" "매장명= 교대" "주소와 전화번호= 서울특별시 서초구 서초중앙로 118 (서초동)
02-758-8073" "위도= 37.4923611" "경도= 127.0142207"
"242" "매장명= 하이브랜드" "주소와 전화번호= 서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)
02-2155-4117" "위도= 37.46330766" "경도= 127.0368447"
"243" "매장명= 신논현역" "주소와 전화번호= 서울특별시 서초구 강남대로 483 (반포동) 청호빌딩
02-758-8756" "위도= 37.50529" "경도= 127.023636"
"244" "매장명= 영동2교" "주소와 전화번호= 서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)
02-758-8291" "위도= 37.48203954" "경도= 127.0425748"
"245" "매장명= 남부터미널2" "주소와 전화번호= 서울특별시 서초구 효령로 274 (서초동)
02-758-8229" "위도= 37.48436736" "경도= 127.0142192"
"246" "매장명= 서래마을입구" "주소와 전화번호= 서울특별시 서초구 서래로 48 (반포동)
02-3482-8257" "위도= 37.49925284" "경도= 126.9984801"
"247" "매장명= 몬테소리" "주소와 전화번호= 서울특별시 서초구 강남대로 399 (서초동)
02-758-8225" "위도= 37.4982695" "경도= 127.026865"
"248" "매장명= 서초역" "주소와 전화번호= 서울특별시 서초구 반포대로 118 (서초동)
02-758-8289" "위도= 37.49067495" "경도= 127.0086118"
"249" "매장명= 예술의전당" "주소와 전화번호= 서울특별시 서초구 남부순환로323길 1, 1층 (서초동)
02-758-8313" "위도= 37.48115265" "경도= 127.0134724"
"250" "매장명= 교대법원" "주소와 전화번호= 서울특별시 서초구 서초중앙로 164 (서초동)
02-758-8400" "위도= 37.496329" "경도= 127.013336"
"251" "매장명= 강남GT타워" "주소와 전화번호= 서울특별시 서초구 서초대로 411, GT타워 (서초동)
02-758-8477" "위도= 37.498056" "경도= 127.02583300000003"
"252" "매장명= 서초동" "주소와 전화번호= 서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동)
02-758-8459" "위도= 37.485941" "경도= 127.021525"
"253" "매장명= 서울교대" "주소와 전화번호= 서울특별시 서초구 서초중앙로 64, 1층 (서초동)
02-758-8332" "위도= 37.487397" "경도= 127.015134"
"254" "매장명= 강남에비뉴" "주소와 전화번호= 서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)
02-758-8587" "위도= 37.5027" "경도= 127.023894"
"255" "매장명= 미아이마트" "주소와 전화번호= 서울 성북구 도봉로 17
02-982-3806" "위도= 37.610678" "경도= 127.029921"
"256" "매장명= 종암DT" "주소와 전화번호= 서울특별시 성북구 종암로 17 (종암동)
02-925-3469" "위도= 37.5919525" "경도= 127.0360401"
"257" "매장명= 미아" "주소와 전화번호= 서울특별시 성북구 동소문로 314 (하월곡동)
02-913-3364" "위도= 37.607581" "경도= 127.029303"
"258" "매장명= 성신여대정문" "주소와 전화번호= 서울특별시 성북구 보문로34길 62 (동선동2가)
02-922-3281" "위도= 37.590910" "경도= 127.018800"
"259" "매장명= 종암" "주소와 전화번호= 서울특별시 성북구 종암로 122 (종암동)
02-758-8980" "위도= 37.601095" "경도= 127.033847"
"260" "매장명= 삼선교" "주소와 전화번호= 서울특별시 성북구 동소문로 10 (동소문동2가)
02-758-8714" "위도= 37.588696" "경도= 127.00732070000003"
"261" "매장명= 월곡역" "주소와 전화번호= 서울특별시 성북구 화랑로 76, 101-1호 (하월곡동)
02-758-8608" "위도= 37.601718" "경도= 127.040446"
"262" "매장명= 고대" "주소와 전화번호= 서울특별시 성북구 고려대로 24길 51 (안암동5가)
02-758-8067" "위도= 37.58397192" "경도= 127.0297352"
"263" "매장명= 현대미아" "주소와 전화번호= 서울특별시 성북구 동소문로 315, 현대백화점미아점 지하 1층 (길음동)
02-758-8203" "위도= 37.60837822" "경도= 127.0287483"
"264" "매장명= 성신여대" "주소와 전화번호= 서울특별시 성북구 동소문로24길 12 (동선동1가)
02-758-8499" "위도= 37.593135" "경도= 127.018379"
"265" "매장명= 안암역" "주소와 전화번호= 서울특별시 성북구 고려대로 102-2 (안암동5가)
02-758-8541" "위도= 37.586319" "경도= 127.030556"
"266" "매장명= 한성대입구역" "주소와 전화번호= 서울특별시 성북구 성북로 11 (성북동1가)
02-758-8455" "위도= 37.589054" "경도= 127.004839"
"267" "매장명= 송파나루역DT" "주소와 전화번호= 서울특별시 송파구 오금로 142 (송파동)
02-421-3622" "위도= 37.510793" "경도= 127.1102658"
"268" "매장명= 잠실시그마타워" "주소와 전화번호= 서울특별시 송파구 올림픽로 289 (신천동)
02-417-3614" "위도= 37.514567" "경도= 127.102493"
"269" "매장명= 문정법원로R" "주소와 전화번호= 서울특별시 송파구 송파대로 201 (문정동)
02-881-5012" "위도= 37.487447" "경도= 127.119164"
"270" "매장명= 송파개롱역" "주소와 전화번호= 서울특별시 송파구 오금로 420 (가락동)
02-401-3574" "위도= 37.496956" "경도= 127.13652"
"271" "매장명= 문정하비오" "주소와 전화번호= 서울특별시 송파구 송파대로 111 (문정동, 파크하비오) 204동 104호~107호
02-401-3431" "위도= 37.481925" "경도= 127.123446"
"272" "매장명= 문정역" "주소와 전화번호= 서울특별시 송파구 송파대로 167 (문정동)테라타워 B동 137호~139호,204호
02-2054-3836" "위도= 37.484813" "경도= 127.122237"
"273" "매장명= 잠실대교남단R" "주소와 전화번호= 서울특별시 송파구 올림픽로35길 141 (신천동)
02-416-0020" "위도= 37.515511" "경도= 127.099006"
"274" "매장명= 송파위례" "주소와 전화번호= 서울특별시 송파구 위례광장로 230 (장지동, 위례2차아이파크)
02-3012-3457" "위도= 37.478264" "경도= 127.144067"
"275" "매장명= 송파방이DT" "주소와 전화번호= 서울특별시 송파구 오금로 241 (방이동)
02-414-3269" "위도= 37.506564" "경도= 127.120495"
"276" "매장명= 송파구청" "주소와 전화번호= 서울특별시 송파구 오금로 87 (방이동)
02-2145-0300" "위도= 37.514573" "경도= 127.107404"
"277" "매장명= 올림픽평화의문" "주소와 전화번호= 서울특별시 송파구 위례성대로 38 (방이동) 해태그린피아빌라트
02-758-8983" "위도= 37.5156426" "경도= 127.11648190000005"
"278" "매장명= 송파아이파크" "주소와 전화번호= 서울특별시 송파구 법원로 55 (문정동)
02-409-3245" "위도= 37.479892" "경도= 127.122379"
"279" "매장명= 송파사거리" "주소와 전화번호= 서울특별시 송파구 송파대로 386 (송파동)
02-758-8931" "위도= 37.5022788" "경도= 127.1103904"
"280" "매장명= 석촌서호" "주소와 전화번호= 서울특별시 송파구 석촌호수로 176 (삼전동)
02-758-8874" "위도= 37.5063929" "경도= 127.0964684"
"281" "매장명= 문정로데오" "주소와 전화번호= 서울특별시 송파구 동남로 141 (가락동)
02-758-8860" "위도= 37.491905" "경도= 127.1262696"
"282" "매장명= 올림픽훼미리" "주소와 전화번호= 서울특별시 송파구 중대로 68 (문정동)
02-758-8793" "위도= 37.491626" "경도= 127.116308"
"283" "매장명= 올림픽공원남문" "주소와 전화번호= 서울특별시 송파구 위례성대로 102 (방이동)
02-758-8769" "위도= 37.5133" "경도= 127.123113"
"284" "매장명= 방이역" "주소와 전화번호= 서울특별시 송파구 마천로 53, 1~2층 (오금동)
02-758-8698" "위도= 37.508666" "경도= 127.126569"
"285" "매장명= 석촌호수" "주소와 전화번호= 서울특별시 송파구 석촌호수로 262 (송파동)
02-758-8693" "위도= 37.509581" "경도= 127.104993"
"286" "매장명= 잠실푸르지오월드" "주소와 전화번호= 서울특별시 송파구 올림픽로35가길 9, 잠실푸르지오월드마크 1층 (신천동)
02-758-8652" "위도= 37.517649" "경도= 127.103426"
"287" "매장명= 잠실새내역" "주소와 전화번호= 서울특별시 송파구 올림픽로 96 (잠실동)
02-758-8643" "위도= 37.511679" "경도= 127.081062"
"288" "매장명= 잠실역" "주소와 전화번호= 서울특별시 송파구 송파대로 562, 한빛프라자 1층, 2층 (신천동)
02-758-8077" "위도= 37.515272" "경도= 127.099231"
"289" "매장명= 갤러리아팰리스" "주소와 전화번호= 서울특별시 송파구 올림픽로 212, 갤러리아 팰리스 (잠실동)
02-758-8118" "위도= 37.51108365" "경도= 127.0938059"
"290" "매장명= 아시아선수촌" "주소와 전화번호= 서울특별시 송파구 백제고분로 69 (잠실동)
02-758-8124" "위도= 37.51052862" "경도= 127.0790472"
"291" "매장명= 올림픽아파트" "주소와 전화번호= 서울특별시 송파구 양재대로 1222 (방이동)
02-758-8580" "위도= 37.515315" "경도= 127.133237"
"292" "매장명= 가락본동" "주소와 전화번호= 서울특별시 송파구 송파대로30길 13 (가락동)
02-758-8495" "위도= 37.494895" "경도= 127.118785"
"293" "매장명= 석촌역" "주소와 전화번호= 서울특별시 송파구 백제고분로 358, 1층 (석촌동)
02-758-8350" "위도= 37.5042626" "경도= 127.10610769999994"
"294" "매장명= 가락시장역" "주소와 전화번호= 서울특별시 송파구 중대로 121, 롯데캐슬 파인힐 1층 (가락동)
02-758-8469" "위도= 37.494299" "경도= 127.121354"
"295" "매장명= 가든파이브" "주소와 전화번호= 서울특별시 송파구 충민로 10 (문정동) 가든파이브툴
02-758-8406" "위도= 37.4782316" "경도= 127.11937030000001"
"296" "매장명= 목동파리공원" "주소와 전화번호= 서울특별시 양천구 목동동로 377 (목동)
02-2643-3818" "위도= 37.535336" "경도= 126.878852"
"297" "매장명= 등촌역" "주소와 전화번호= 서울특별시 양천구 공항대로 566 (목동) 1층 2층
02-2645-3631" "위도= 37.548884" "경도= 126.868070"
"298" "매장명= 목동행복한" "주소와 전화번호= 서울특별시 양천구 목동동로 309 (목동)
02-2643-3652" "위도= 37.529147" "경도= 126.876099"
"299" "매장명= 신정DT" "주소와 전화번호= 서울특별시 양천구 신월로 341 (신정동)
02-2604-3441" "위도= 37.521993" "경도= 126.858865"
"300" "매장명= 목동역" "주소와 전화번호= 서울특별시 양천구 목동로 203 (신정동) 1층일부
02-2602-3505" "위도= 37.526684" "경도= 126.863986"
"301" "매장명= 목동오목로" "주소와 전화번호= 서울특별시 양천구 오목로 279 (목동) 102,103,104,105호
02-2642-3326" "위도= 37.525923" "경도= 126.868438"
"302" "매장명= 목동8단지" "주소와 전화번호= 서울특별시 양천구 목동서로 299 (신정동)
02-2061-3381" "위도= 37.520518" "경도= 126.868841"
"303" "매장명= 오목교역" "주소와 전화번호= 서울특별시 양천구 오목로 354 (목동)
02-758-8941" "위도= 37.5235882" "경도= 126.87652120000007"
"304" "매장명= 신월IC DT" "주소와 전화번호= 서울특별시 양천구 남부순환로 430 (신월동)
02-758-8930" "위도= 37.5294984" "경도= 126.831983"
"305" "매장명= 목동7단지" "주소와 전화번호= 서울특별시 양천구 목동서로 213 (목동) 세신비젼프라자
02-758-8842" "위도= 37.528012" "경도= 126.87053"
"306" "매장명= 목동하이페리온" "주소와 전화번호= 서울특별시 양천구 오목로 300 (목동)
02-758-8610" "위도= 37.524931" "경도= 126.870316"
"307" "매장명= 목동5단지" "주소와 전화번호= 서울특별시 양천구 목동동로 411, 1동 116호(목동, 부영그린타운3차)
02-758-8615" "위도= 37.536706" "경도= 126.88212"
"308" "매장명= 목동" "주소와 전화번호= 서울특별시 양천구 목동서로 67 (목동) 우성에펠타운
02-758-8099" "위도= 37.53638383" "경도= 126.8785597"
"309" "매장명= 현대목동" "주소와 전화번호= 서울특별시 양천구 목동동로 257, 현대백화점목동점 지하 2층 (목동)
02-2163-1750" "위도= 37.526848" "경도= 126.875023"
"310" "매장명= 목동파라곤" "주소와 전화번호= 서울특별시 양천구 목동서로 155, 목동파라곤 1층 (목동)
02-758-8353" "위도= 37.52947" "경도= 126.874996"
"311" "매장명= 타임스퀘어R" "주소와 전화번호= 서울특별시 영등포구 영중로 15 (영등포동4가)
02-2671-9902" "위도= 37.517139" "경도= 126.903606"
"312" "매장명= 샛강역" "주소와 전화번호= 서울특별시 영등포구 여의대방로 376 (여의도동)
02-780-3743" "위도= 37.5183551" "경도= 126.9312716"
"313" "매장명= 영등포역" "주소와 전화번호= 서울특별시 영등포구 경인로 870 (영등포동1가)
02-2068-3692" "위도= 37.5169614" "경도= 126.9091390"
"314" "매장명= 당산대로" "주소와 전화번호= 서울특별시 영등포구 양평로 22 (당산동6가)
02-2631-3397" "위도= 37.533121" "경도= 126.903804"
"315" "매장명= 여의도IFC몰(L1)R" "주소와 전화번호= 서울특별시 영등포구 국제금융로 10 (여의도동) 지하1층 178호
02-6137-5178" "위도= 37.525127" "경도= 126.925508"
"316" "매장명= 여의도KBS R" "주소와 전화번호= 서울특별시 영등포구 의사당대로 26 (여의도동)
02-782-3470" "위도= 37.526596" "경도= 126.918456"
"317" "매장명= 여의도화재보험" "주소와 전화번호= 서울특별시 영등포구 국제금융로6길 38 (여의도동)
02-782-3565" "위도= 37.521345" "경도= 126.926004"
"318" "매장명= 국회대로" "주소와 전화번호= 서울특별시 영등포구 국회대로 786 (여의도동)
02-761-3466" "위도= 37.530260" "경도= 126.919549"
"319" "매장명= 영등포KT" "주소와 전화번호= 서울특별시 영등포구 영중로 119 (영등포동8가)
02-2671-3369" "위도= 37.526792" "경도= 126.904706"
"320" "매장명= 여의도공원R" "주소와 전화번호= 서울특별시 영등포구 여의공원로 101 (여의도동)
02-3775-3359" "위도= 37.529231" "경도= 126.924872"
"321" "매장명= 국회의사당역" "주소와 전화번호= 서울특별시 영등포구 의사당대로 8 (여의도동)
02-780-3346" "위도= 37.527831" "경도= 126.916882"
"322" "매장명= 선유도역" "주소와 전화번호= 서울특별시 영등포구 양평로 115 (양평동4가)
02-2634-3258" "위도= 37.537268" "경도= 126.894594"
"323" "매장명= 여의도역" "주소와 전화번호= 서울특별시 영등포구 의사당대로 83 (여의도동) 한국휴렛팩커드빌딩
02-761-3236" "위도= 37.523328" "경도= 126.923439"
"324" "매장명= 선유동이레빌딩" "주소와 전화번호= 서울특별시 영등포구 선유동2로 57 (양평제1동) 이레빌딩
02-2068-3224" "위도= 37.534109" "경도= 126.896912"
"325" "매장명= 동여의도" "주소와 전화번호= 서울특별시 영등포구 국제금융로 86 (여의도동) 롯데캐슬 아이비
02-758-8875" "위도= 37.5199494" "경도= 126.9317957"
"326" "매장명= 여의도ABL타워" "주소와 전화번호= 서울특별시 영등포구 의사당대로 147 (여의도동) 알리안츠타워
02-758-8834" "위도= 37.518749" "경도= 126.92779"
"327" "매장명= 영등포신길DT" "주소와 전화번호= 서울특별시 영등포구 신길로 137 (신길동)
02-758-8813" "위도= 37.504566" "경도= 126.910073"
"328" "매장명= 문래역" "주소와 전화번호= 서울특별시 영등포구 당산로 34 (문래동3가)
02-758-8833" "위도= 37.517428" "경도= 126.896475"
"329" "매장명= 당산" "주소와 전화번호= 서울특별시 영등포구 양평로 64 (당산동6가)
02-758-8713" "위도= 37.535164" "경도= 126.899942"
"330" "매장명= 여의도한양증권" "주소와 전화번호= 서울특별시 영등포구 국제금융로6길 7 (여의도동) 한양증권
02-758-8711" "위도= 37.522418" "경도= 126.929093"
"331" "매장명= 여의도일신" "주소와 전화번호= 서울특별시 영등포구 은행로 11 (여의도동) 1층 1부
02-758-8695" "위도= 37.528" "경도= 126.920103"
"332" "매장명= 신세계영등포B2" "주소와 전화번호= 서울특별시 영등포구 영중로 9, 신세계백화점 B관 지하2층 (영등포동4가)
02-2639-4072" "위도= 37.517162" "경도= 126.905608"
"333" "매장명= 하이테크시티" "주소와 전화번호= 서울특별시 영등포구 경인로 775 (문래동3가) 에이스하이테크시티
02-758-8210" "위도= 37.51467062" "경도= 126.8986474"
"334" "매장명= 당산역" "주소와 전화번호= 서울특별시 영등포구 당산로 231, 대원빌딩 1,2층 (당산동6가)
02-758-8270" "위도= 37.5344337" "경도= 126.90187630000002"
"335" "매장명= 서여의도" "주소와 전화번호= 서울특별시 영등포구 국회대로70길 15-1 (여의도동)
02-758-8008" "위도= 37.52958977" "경도= 126.920272"
"336" "매장명= 여의도" "주소와 전화번호= 서울특별시 영등포구 국제금융로2길 28 (여의도동)
02-758-8007" "위도= 37.52403519" "경도= 126.9245179"
"337" "매장명= 롯데캐슬여의도" "주소와 전화번호= 서울특별시 영등포구 의사당대로 127 (여의도동) 롯데캐슬앰파이어 1층 104호
02-758-8127" "위도= 37.52025214" "경도= 126.9263678"
